query	n_hits	best_any_pident	best_nonself_target	best_nonself_pident	best_nonself_cov%	best_nonself_bits	n_hom_30id50cov	n_hom_50id50cov	novel30	novel50
MT966872_42	71	97.7	AFDB:AF-0000000000159966	96.2	44.0	875.0	3	0	False	True
MT966873_43	20	47.2	AFDB:AF-0000000013980450	47.2	93.0	553.0	11	1	False	False
MT974436_173	414	78.5	AFDB:AF-A0A5V3UY86-F1	78.5	86.0	946.0	252	12	False	False
MW021753_40	414	78.6	AFDB:AF-A0A5V3UY86-F1	78.6	86.0	946.0	253	12	False	False
MW021754_204	416	73.6	AFDB:AF-A0A5V3UY86-F1	73.6	93.0	949.0	255	12	False	False
MW021754_205	125	92.4	AFDB:AF-0000000000021940	92.4	52.0	954.0	11	11	False	False
MW021757_123	94	98.0	AFDB:AF-0000000000053468	88.2	46.0	938.0	0	0	True	True
MW021757_124	414	74.0	AFDB:AF-A0A5V3UY86-F1	74.0	93.0	947.0	256	12	False	False
MW021760_199	130	91.1	AFDB:AF-0000000003546393	91.1	51.0	1043.0	8	7	False	False
MW042787_21	20	47.4	AFDB:AF-0000000013980450	47.4	93.0	555.0	11	1	False	False
MW042788_11	20	47.1	AFDB:AF-0000000013980450	47.1	93.0	551.0	11	1	False	False
MW042789_37	72	100.0	AFDB:AF-0000000000159966	98.4	44.0	890.0	3	0	False	True
MW042791_2	70	99.0	AFDB:AF-0000000000159966	98.7	44.0	894.0	3	0	False	True
MW042792_12	70	98.8	AFDB:AF-0000000000159966	98.9	44.0	894.0	3	1	False	False
MW042795_30	70	99.2	AFDB:AF-0000000000159966	98.4	44.0	891.0	3	1	False	False
MW042797_40	70	99.0	AFDB:AF-0000000000159966	98.9	44.0	895.0	3	0	False	True
MW042798_44	72	99.9	AFDB:AF-0000000000159966	98.7	44.0	893.0	3	0	False	True
MW042800_26	71	98.0	AFDB:AF-0000000000159966	97.5	44.0	885.0	3	0	False	True
MW042803_22	70	98.9	AFDB:AF-0000000000159966	98.4	44.0	890.0	3	0	False	True
MW042804_2	70	99.1	AFDB:AF-0000000000159966	98.2	44.0	891.0	3	0	False	True
MW042807_19	71	98.1	AFDB:AF-0000000000159966	96.4	44.0	878.0	3	0	False	True
MW042808_21	70	98.6	AFDB:AF-0000000000159966	97.8	44.0	885.0	3	0	False	True
MW042809_38	70	99.0	AFDB:AF-0000000000159966	98.7	44.0	894.0	3	0	False	True
MW042810_11	70	99.1	AFDB:AF-0000000000159966	98.7	44.0	894.0	3	0	False	True
MW042811_49	70	99.2	AFDB:AF-0000000000159966	99.1	44.0	897.0	3	0	False	True
MW042812_40	70	99.3	AFDB:AF-0000000000159966	98.9	44.0	894.0	3	0	False	True
MW355475_67	116	99.9	AFDB:AF-0000000000192189	99.9	66.0	1552.0	5	4	False	False
MW355478_81	135	93.1	AFDB:AF-0000000000021910	93.1	97.0	1388.0	5	4	False	False
MW650886_2	92	100.0	AFDB:AF-0000000000236206	92.0	48.0	912.0	1	0	False	True
MW722083_6	281	99.9	AFDB:AF-0000000008477480	99.3	80.0	1692.0	19	14	False	False
MZ156570_108	118	82.0	AFDB:AF-0000000000095512	82.0	60.0	967.0	6	6	False	False
MZ156570_111	119	66.1	AFDB:AF-0000000005973263	66.1	75.0	694.0	13	10	False	False
MZ375300_41	431	82.0	AFDB:AF-A0A706LZH8-F1	82.0	84.0	736.0	259	213	False	False
MZ375311_37	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	920.0	248	201	False	False
MZ375312_38	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	921.0	248	201	False	False
MZ375314_40	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	921.0	248	201	False	False
MZ375315_37	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	922.0	248	201	False	False
MZ375317_39	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	920.0	248	201	False	False
MZ375319_36	438	81.8	AFDB:AF-A0A706LZH8-F1	81.8	87.0	922.0	248	201	False	False
MZ375321_37	431	81.9	AFDB:AF-A0A706LZH8-F1	81.9	84.0	736.0	259	213	False	False
MZ375329_36	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	919.0	248	201	False	False
MZ375330_35	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	920.0	248	201	False	False
MZ375333_37	438	81.8	AFDB:AF-A0A706LZH8-F1	81.8	87.0	922.0	248	201	False	False
MZ375335_37	430	81.0	AFDB:AF-A0A706LZH8-F1	81.0	81.0	744.0	258	212	False	False
MZ375336_36	431	81.0	AFDB:AF-A0A706LZH8-F1	81.0	81.0	744.0	258	212	False	False
MZ375343_35	438	81.8	AFDB:AF-A0A706LZH8-F1	81.8	87.0	923.0	248	201	False	False
MZ375355_31	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	921.0	248	201	False	False
MZ375357_36	397	97.5	AFDB:AF-0000000000021910	97.5	47.0	941.0	243	196	False	False
NC_016570_166	130	90.7	AFDB:AF-0000000000021910	90.7	97.0	1352.0	5	4	False	False
NC_016570_169	118	83.1	AFDB:AF-0000000000095512	83.1	60.0	979.0	5	5	False	False
NC_016761_21	522	100.0	AFDB:AF-A0A5I0L0H9-F1	92.3	100.0	1430.0	274	74	False	False
NC_019452_167	105	82.0	AFDB:AF-0000000000095512	82.0	60.0	968.0	6	6	False	False
NC_021782_67	417	74.9	AFDB:AF-A0A706LZH8-F1	74.9	87.0	872.0	248	201	False	False
NC_022768_38	414	78.5	AFDB:AF-A0A5V3UY86-F1	78.5	86.0	946.0	252	12	False	False
NC_022772_39	414	78.6	AFDB:AF-A0A5V3UY86-F1	78.6	86.0	946.0	252	12	False	False
NC_024122_129	125	98.4	AFDB:AF-0000000000053468	81.9	61.0	971.0	9	9	False	False
NC_024122_130	412	74.8	AFDB:AF-A0A706LZH8-F1	74.8	87.0	876.0	248	198	False	False
NC_025418_53	1	55.1	AFDB:AF-0000000000327918	55.1	100.0	702.0	1	1	False	False
NC_027399_538	7	100.0	AFDB:AF-0000000000203015	89.2	29.0	458.0	2	0	False	True
NC_028670_54	1	54.6	AFDB:AF-0000000000327918	54.6	100.0	702.0	1	1	False	False
NC_028688_48	69	98.7	AFDB:AF-0000000000074661	46.0	56.0	218.0	2	0	False	True
NC_029042_51	115	100.0	AFDB:AF-0000000000192189	97.4	92.0	845.0	10	7	False	False
NC_031025_50	1	56.7	AFDB:AF-0000000000327918	56.7	100.0	739.0	1	1	False	False
NC_031045_4	424	84.6	AFDB:AF-A0A5V3UY86-F1	84.6	77.0	939.0	253	12	False	False
NC_031045_5	130	91.3	AFDB:AF-0000000003546393	91.3	51.0	1044.0	8	5	False	False
NC_031077_25	300	90.8	AFDB:AF-0000000004882309	90.8	79.0	1271.0	4	3	False	False
NC_031128_114	413	74.8	AFDB:AF-A0A706LZH8-F1	74.8	87.0	875.0	253	174	False	False
NC_031128_115	116	99.1	AFDB:AF-0000000000192189	99.1	66.0	1540.0	5	4	False	False
NC_031246_50	1	54.4	AFDB:AF-0000000000327918	54.4	100.0	698.0	1	1	False	False
NC_042041_41	27	100.0	AFDB:AF-0000000000022026	55.1	82.0	631.0	6	1	False	False
NC_042061_131	414	78.6	AFDB:AF-A0A5V3UY86-F1	78.6	86.0	946.0	253	12	False	False
NC_042061_132	94	98.2	AFDB:AF-0000000000053468	88.4	46.0	938.0	0	0	True	True
NC_047761_46	20	47.1	AFDB:AF-0000000013980450	47.1	93.0	550.0	11	1	False	False
NC_047798_43	4	99.4	AFDB:AF-0000000000258881	73.5	5.0	54.3	0	0	True	True
NC_047908_43	71	97.7	AFDB:AF-0000000000159966	96.0	44.0	874.0	3	0	False	True
NC_047970_44	71	97.0	AFDB:AF-0000000000159966	95.3	44.0	867.0	3	0	False	True
NC_048114_45	69	98.9	AFDB:AF-0000000000159966	98.4	44.0	892.0	3	0	False	True
NC_049378_96	412	74.8	AFDB:AF-A0A706LZH8-F1	74.8	101.0	876.0	262	213	False	False
NC_049378_98	120	100.0	AFDB:AF-0000000000053468	70.7	74.0	969.0	9	9	False	False
NC_049382_75	118	82.3	AFDB:AF-0000000000095512	82.3	60.0	973.0	5	5	False	False
NC_049396_161	116	95.7	AFDB:AF-0000000000192189	95.7	67.0	1461.0	8	7	False	False
NC_049427_173	133	96.2	AFDB:AF-0000000000064322	94.7	51.0	1072.0	5	4	False	False
NC_049428_41	130	100.0	AFDB:AF-0000000000021940	81.4	58.0	972.0	5	4	False	False
NC_049428_42	413	68.0	AFDB:AF-A0A706LZH8-F1	68.0	99.0	873.0	248	198	False	False
NC_049433_176	129	97.2	AFDB:AF-0000000000053468	70.5	74.0	964.0	9	9	False	False
NC_049433_177	412	74.8	AFDB:AF-A0A706LZH8-F1	74.8	87.0	875.0	248	198	False	False
NC_049439_55	418	78.3	AFDB:AF-A0A5V3UY86-F1	78.3	87.0	946.0	253	12	False	False
NC_049440_53	419	84.4	AFDB:AF-A0A5V3UY86-F1	84.4	77.0	938.0	252	12	False	False
NC_049440_54	126	96.2	AFDB:AF-0000000000053468	80.9	61.0	957.0	9	9	False	False
NC_049443_1	340	84.6	AFDB:AF-A0A5V3UY86-F1	84.6	99.0	939.0	257	16	False	False
NC_049443_203	116	98.8	AFDB:AF-0000000000192189	98.8	66.0	1536.0	7	6	False	False
NC_049454_34	104	100.0	AFDB:AF-A0AAW3G0T4-F1	83.4	82.0	1004.0	32	11	False	False
NC_049495_133	129	81.0	AFDB:AF-0000000000021910	81.0	65.0	964.0	16	15	False	False
NC_049495_134	413	84.5	AFDB:AF-A0A717WX04-F1	84.5	78.0	900.0	252	12	False	False
NC_049496_128	419	84.4	AFDB:AF-A0A5V3UY86-F1	84.4	77.0	939.0	252	12	False	False
NC_049496_129	130	91.3	AFDB:AF-0000000003546393	91.3	51.0	1044.0	8	5	False	False
NC_049497_93	130	91.3	AFDB:AF-0000000003546393	91.3	51.0	1044.0	8	5	False	False
NC_049497_94	416	84.6	AFDB:AF-A0A5V3UY86-F1	84.6	77.0	940.0	253	12	False	False
NC_049499_4	115	100.0	AFDB:AF-0000000000001170	99.8	58.0	898.0	6	5	False	False
NC_049500_6	145	100.0	AFDB:AF-0000000000021940	82.3	58.0	951.0	10	7	False	False
NC_049500_7	423	84.6	AFDB:AF-A0A5V3UY86-F1	84.6	77.0	940.0	253	12	False	False
NC_049500_9	119	66.1	AFDB:AF-0000000005973263	66.1	75.0	694.0	13	10	False	False
NC_049501_1	131	94.8	AFDB:AF-0000000003546393	94.8	60.0	1078.0	5	3	False	False
NC_049503_9	138	93.1	AFDB:AF-0000000000021910	93.1	97.0	1390.0	5	4	False	False
NC_049504_6	116	98.8	AFDB:AF-0000000000192189	98.8	66.0	1536.0	7	6	False	False
NC_049504_7	416	84.6	AFDB:AF-A0A5V3UY86-F1	84.6	77.0	940.0	253	12	False	False
NC_049505_6	130	91.3	AFDB:AF-0000000003546393	91.3	51.0	1044.0	8	5	False	False
NC_049506_6	120	99.1	AFDB:AF-0000000000053468	70.9	74.0	969.0	9	9	False	False
NC_049506_7	370	77.5	AFDB:AF-A0A5V3UY86-F1	77.5	87.0	944.0	253	12	False	False
NC_049506_9	120	66.5	AFDB:AF-0000000000236377	66.5	107.0	279.0	47	36	False	False
NC_049507_5	123	80.0	AFDB:AF-0000000000021910	80.0	65.0	947.0	16	15	False	False
NC_049507_6	419	73.7	AFDB:AF-A0A5V3UY86-F1	73.7	93.0	947.0	255	12	False	False
NC_049508_6	404	81.1	AFDB:AF-0000000000095512	81.1	61.0	944.0	152	10	False	False
NC_049512_106	411	78.4	AFDB:AF-A0A5V3UY86-F1	78.4	59.0	949.0	152	10	False	False
NC_054639_63	426	73.1	AFDB:AF-A0A706LZH8-F1	73.1	93.0	876.0	254	207	False	False
NC_054643_85	430	79.6	AFDB:AF-A0A706LZH8-F1	79.6	81.0	620.0	278	225	False	False
NC_054644_60	438	81.1	AFDB:AF-A0A706LZH8-F1	81.1	87.0	912.0	248	201	False	False
NC_054645_9	439	81.5	AFDB:AF-A0A706LZH8-F1	81.5	87.0	919.0	248	201	False	False
NC_054646_44	439	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	918.0	248	201	False	False
NC_071141_16	64	90.9	AFDB:AF-0000000008632718	90.9	78.0	918.0	60	55	False	False
NC_092455_41	20	48.1	AFDB:AF-0000000013980450	48.1	91.0	554.0	11	0	False	True
OK283619_45	138	93.1	AFDB:AF-0000000000021910	93.1	97.0	1391.0	5	4	False	False
OK539832_125	131	93.9	AFDB:AF-0000000000021940	93.9	51.0	949.0	12	10	False	False
OK539832_126	424	84.6	AFDB:AF-A0A5V3UY86-F1	84.6	77.0	940.0	252	12	False	False
OK625527_1	1	91.7	AFDB:AF-0000000000327918	91.7	100.0	1208.0	1	1	False	False
OL409034_44	18	47.1	AFDB:AF-0000000013980450	47.1	93.0	553.0	11	1	False	False
OL656110_161	75	99.0	AFDB:AF-0000000010219370	72.0	61.0	957.0	3	1	False	False
OL744213_44	126	37.5	AFDB:AF-0000000000074597	37.5	71.0	390.0	1	0	False	True
OL744215_1	1	95.8	NONE	0	0	0	0	0	True	True
OL744218_1	1	95.5	NONE	0	0	0	0	0	True	True
OL865411_42	126	37.1	AFDB:AF-0000000000074597	37.1	74.0	384.0	1	0	False	True
OL964734_38	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	921.0	248	201	False	False
OL964738_39	421	84.4	AFDB:AF-A0A5V3UY86-F1	84.4	53.0	938.0	204	10	False	False
OL964744_37	438	81.6	AFDB:AF-A0A706LZH8-F1	81.6	87.0	920.0	248	201	False	False
OL964746_36	385	97.5	AFDB:AF-0000000000021910	97.5	60.0	941.0	21	20	False	False
OL964751_36	438	81.5	AFDB:AF-A0A706LZH8-F1	81.5	87.0	918.0	248	201	False	False
OL964752_36	438	81.8	AFDB:AF-A0A706LZH8-F1	81.8	87.0	922.0	248	201	False	False
OL964753_36	403	97.3	AFDB:AF-0000000000021910	97.3	60.0	938.0	21	20	False	False
OM367911_168	117	96.9	AFDB:AF-0000000000095512	96.9	74.0	939.0	24	24	False	False
OM681507_133	80	97.8	AFDB:AF-0000000000192189	97.8	66.0	1526.0	5	4	False	False
OM688977_55	138	90.5	AFDB:AF-0000000000095512	90.5	54.0	952.0	15	15	False	False
OM735690_47	126	37.5	AFDB:AF-0000000000074597	37.5	74.0	386.0	1	0	False	True
OM816835_32	160	100.0	AFDB:AF-0000000005821688	100.0	66.0	1219.0	33	32	False	False
OM816837_2	1	55.9	AFDB:AF-0000000000327918	55.9	100.0	725.0	1	1	False	False
ON165415_1	55	95.0	AFDB:AF-0000000001174554	94.6	100.0	432.0	52	51	False	False
ON169961_115	126	96.9	AFDB:AF-0000000000053468	70.0	74.0	954.0	9	9	False	False
ON169962_117	126	97.0	AFDB:AF-0000000000053468	70.3	74.0	959.0	9	9	False	False
ON169962_118	418	78.1	AFDB:AF-A0A5V3UY86-F1	78.1	87.0	946.0	253	12	False	False
ON169963_114	86	100.0	AFDB:AF-0000000000064322	96.6	51.0	1095.0	5	4	False	False
ON169963_115	418	73.6	AFDB:AF-A0A5V3UY86-F1	73.6	93.0	948.0	256	12	False	False
ON184126_1	75	100.0	AFDB:AF-0000000010219370	72.0	75.0	957.0	3	1	False	False
ON323462_169	60	100.0	AFDB:AF-0000000000225123	87.4	47.0	852.0	29	26	False	False
ON399185_209	60	100.0	AFDB:AF-0000000009899396	52.6	89.0	568.0	56	33	False	False
ON470605_8	706	99.7	AFDB:AF-A0A376L7Y0-F1	99.1	87.0	1727.0	19	10	False	False
ON571554_6	70	99.5	AFDB:AF-0000000000159966	98.0	44.0	887.0	3	0	False	True
ON602748_34	1	54.4	AFDB:AF-0000000000327918	54.4	100.0	700.0	1	1	False	False
ON809559_34	1	55.5	AFDB:AF-0000000000327918	55.5	100.0	712.0	1	1	False	False
ON809764_201	420	96.3	AFDB:AF-0000000000021910	96.3	47.0	927.0	241	195	False	False
ON862890_1	101	77.8	AFDB:AF-0000000010734504	77.8	57.0	916.0	2	2	False	False
ON880501_2	71	98.3	AFDB:AF-0000000000159966	98.0	44.0	887.0	3	0	False	True
OOM_LC768484_7	5	94.1	AFDB:AF-0000000000213899	94.1	53.0	1087.0	1	1	False	False
OOM_MN176573_8	34	28.4	AFDB:AF-0000000000304168	28.4	103.0	402.0	5	0	False	True
OOM_MT708547_217	21	100.0	AFDB:AF-0000000009468238	55.7	45.0	572.0	0	0	True	True
OOM_MW394390_157	80	78.5	AFDB:AF-0000000005079477	78.5	67.0	1338.0	14	6	False	False
OOM_MZ826764_151	58	99.6	AFDB:AF-0000000005012620	80.9	64.0	1205.0	3	2	False	False
OOM_NC_019526_535	20	65.8	AFDB:AF-0000000000213899	65.8	58.0	825.0	1	1	False	False
OOM_NC_027399_535	40	69.5	AFDB:AF-0000000000213899	69.5	50.0	821.0	0	0	True	True
OOM_NC_047780_42	75	100.0	AFDB:AF-A0A483NHQ3-F1	52.4	82.0	1048.0	5	2	False	False
OOM_NC_047781_47	77	98.3	AFDB:AF-A0A483NHQ3-F1	52.4	82.0	1049.0	5	2	False	False
OOM_NC_047782_45	57	98.0	AFDB:AF-A0A483NHQ3-F1	54.8	81.0	975.0	5	3	False	False
OOM_NC_047900_31	58	100.0	AFDB:AF-0000000005012620	81.0	64.0	1205.0	3	2	False	False
OOM_OL976437_1	64	81.0	AFDB:AF-0000000005079477	81.0	66.0	1350.0	13	6	False	False
OOM_OL979479_38	64	81.0	AFDB:AF-0000000005079477	81.0	62.0	1350.0	13	6	False	False
OOM_OP617745_440	17	94.9	AFDB:AF-0000000000213899	94.9	45.0	1094.0	1	0	False	True
OOM_OQ921101_38	76	97.9	AFDB:AF-A0A483NHQ3-F1	52.9	81.0	1049.0	5	3	False	False
OOM_OR982685_9	44	28.6	AFDB:AF-0000000000304168	28.6	103.0	421.0	4	0	False	True
OOM_OU509535_285	18	96.3	AFDB:AF-0000000009468238	55.9	45.0	577.0	2	0	False	True
OOM_OY978792_23	154	78.4	AFDB:AF-0000000005079477	78.4	66.0	1315.0	13	8	False	False
OOM_OY978798_46	77	95.8	AFDB:AF-A0A483NHQ3-F1	51.3	83.0	1010.0	5	2	False	False
OOM_OZ240615_354	84	78.2	AFDB:AF-0000000005079477	78.2	61.0	1315.0	13	6	False	False
OOM_PP728208_47	43	28.6	AFDB:AF-0000000000304168	28.6	104.0	415.0	6	0	False	True
OOM_PP889483_51	44	28.7	AFDB:AF-0000000000304168	28.7	103.0	416.0	5	0	False	True
OOM_PP889494_53	66	80.6	AFDB:AF-0000000005079477	80.6	61.0	1349.0	14	6	False	False
OOM_PP889495_21	154	79.1	AFDB:AF-0000000005079477	79.1	66.0	1325.0	13	8	False	False
OOM_PQ133599_42	44	28.4	AFDB:AF-0000000000304168	28.4	103.0	424.0	4	0	False	True
OOM_PV112478_191	111	49.1	AFDB:AF-A0A483NHQ3-F1	49.1	85.0	1013.0	13	1	False	False
OOM_PV155695_6	43	28.6	AFDB:AF-0000000000304168	28.6	103.0	417.0	4	0	False	True
OOM_PV357744_91	17	94.6	AFDB:AF-0000000000213899	94.6	45.0	1090.0	1	0	False	True
OOM_PV357746_545	17	94.8	AFDB:AF-0000000000213899	94.8	45.0	1091.0	0	0	True	True
OOM_PV588648_36	56	93.3	AFDB:AF-0000000000327574	93.3	100.0	2190.0	4	3	False	False
OOM_PV588649_37	56	93.2	AFDB:AF-0000000000327574	93.2	100.0	2187.0	4	3	False	False
OOM_PV838179_35	76	98.6	AFDB:AF-A0A483NHQ3-F1	52.6	81.0	1048.0	5	2	False	False
OOM_PX670392.1_52	33	28.3	AFDB:AF-0000000000304168	28.3	103.0	400.0	5	0	False	True
OP079918_46	1	94.8	AFDB:AF-0000000000327918	94.8	100.0	446.0	1	1	False	False
OP103918_2	65	98.3	AFDB:AF-0000000000159966	97.5	44.0	883.0	3	0	False	True
OP103919_38	65	98.2	AFDB:AF-0000000000159966	97.3	44.0	880.0	3	0	False	True
OP103920_7	69	98.5	AFDB:AF-0000000000159966	98.0	44.0	884.0	3	0	False	True
OP103921_49	69	98.8	AFDB:AF-0000000000159966	98.7	44.0	893.0	3	0	False	True
OP103923_51	70	99.1	AFDB:AF-0000000000159966	98.4	44.0	890.0	3	0	False	True
OP114731_50	92	84.0	AFDB:AF-A0A483WJY8-F1	84.0	73.0	1036.0	58	53	False	False
OP423032_38	414	78.6	AFDB:AF-A0A5V3UY86-F1	78.6	86.0	946.0	254	12	False	False
OP610151_174	94	99.6	AFDB:AF-0000000000053468	88.4	46.0	938.0	0	0	True	True
OP785155_9	126	37.3	AFDB:AF-0000000000074597	37.3	74.0	384.0	1	0	False	True
OP828573_111	116	98.7	AFDB:AF-0000000000192189	98.7	66.0	1535.0	5	4	False	False
OP828573_112	413	74.6	AFDB:AF-A0A706LZH8-F1	74.6	87.0	872.0	253	174	False	False
OP924281_91	411	74.3	AFDB:AF-0000000004403280	74.3	100.0	280.0	173	152	False	False
OP978318_173	414	74.9	AFDB:AF-A0A706LZH8-F1	74.9	87.0	875.0	247	200	False	False
OP978318_174	130	91.3	AFDB:AF-0000000003546393	91.3	51.0	1044.0	8	5	False	False
OP991882_202	123	99.3	AFDB:AF-0000000000053468	70.8	74.0	971.0	9	9	False	False
OP991882_203	413	74.4	AFDB:AF-A0A706LZH8-F1	74.4	87.0	871.0	253	175	False	False
OQ267695_22	439	81.5	AFDB:AF-A0A706LZH8-F1	81.5	87.0	921.0	248	201	False	False
OQ359883_170	123	91.3	AFDB:AF-0000000003546393	91.3	51.0	1041.0	8	5	False	False
OQ359884_174	415	73.6	AFDB:AF-A0A5V3UY86-F1	73.6	93.0	946.0	255	12	False	False
OQ455241.1_81	412	74.8	AFDB:AF-A0A706LZH8-F1	74.8	87.0	876.0	248	198	False	False
OQ455241.1_82	125	98.2	AFDB:AF-0000000000053468	81.7	61.0	970.0	8	8	False	False
OQ503491_12	1	56.1	AFDB:AF-0000000000327918	56.1	100.0	731.0	1	1	False	False
OQ579024_42	20	48.1	AFDB:AF-0000000013980450	48.1	91.0	553.0	11	1	False	False
OQ579025_45	20	47.4	AFDB:AF-0000000013980450	47.4	93.0	555.0	11	0	False	True
OQ579026_45	20	47.9	AFDB:AF-0000000013980450	47.9	91.0	552.0	11	0	False	True
OQ579027_42	20	47.9	AFDB:AF-0000000013980450	47.9	91.0	553.0	11	0	False	True
OQ579028_44	20	48.1	AFDB:AF-0000000013980450	48.1	91.0	555.0	11	1	False	False
OQ660437_37	130	91.1	AFDB:AF-0000000003546393	91.1	51.0	1043.0	8	5	False	False
OQ734493_19	1	54.8	AFDB:AF-0000000000327918	54.8	100.0	708.0	1	1	False	False
OQ871562_48	1	54.9	AFDB:AF-0000000000327918	54.9	100.0	708.0	1	1	False	False
OQ973471_187	74	92.8	AFDB:AF-0000000010734504	92.8	100.0	1989.0	6	2	False	False
OR050820_40	20	47.2	AFDB:AF-0000000013980450	47.2	93.0	547.0	11	1	False	False
OR105945_42	72	98.1	AFDB:AF-0000000000159966	98.0	44.0	890.0	3	0	False	True
OR122688_1	415	73.7	AFDB:AF-A0A5V3UY86-F1	73.7	93.0	949.0	255	12	False	False
OR122688_207	97	99.7	AFDB:AF-0000000000021940	91.9	44.0	937.0	0	0	True	True
OR228402_191	159	91.3	AFDB:AF-A0A721FEJ8-F1	91.3	70.0	1557.0	27	11	False	False
OR242317_2	417	77.2	AFDB:AF-A0A706LZH8-F1	77.2	83.0	872.0	247	200	False	False
OR242317_3	134	97.1	AFDB:AF-0000000000095512	97.1	47.0	945.0	1	0	False	True
