protein_id	label	y	cluster	genome_family	host_domain	host_layer	length	split	lofo
NC_061421_302	depolymerase	1	NC_061421_302	Chimalliviridae	bacteria	known	599	train	train
PQ133607_45	depolymerase	1	PQ133607_45	Unclassified	bacteria	known	886	test	train
NC_027399_533	depolymerase	1	NC_027399_533	Unclassified	bacteria	known	652	train	train
MN871445_182	depolymerase	1	MN871445_182	Unclassified	bacteria	known	876	train	train
PQ182779_230	depolymerase	1	PQ182779_230	Unclassified	bacteria	known	602	val	train
MN871445_183	depolymerase	1	MN871445_183	Unclassified	bacteria	known	509	train	train
OQ921333_43	depolymerase	1	OQ921333_43	Unclassified	bacteria	known	746	test	train
OY757088_53	depolymerase	1	OY757088_53	Autoscriptoviridae	bacteria	known	725	val	train
PQ400077.1_47	depolymerase	1	PQ400077.1_47	Autoscriptoviridae	bacteria	known	677	train	train
OP617745_442	depolymerase	1	OP617745_442	Unclassified	bacteria	known	992	test	train
LC768484_7	depolymerase	1	LC768484_7	Unclassified	bacteria	known	1112	train	train
PQ182779_225	depolymerase	1	PQ182779_225	Unclassified	bacteria	known	1020	test	train
ON602752_39	depolymerase	1	ON602752_39	Autoscriptoviridae	bacteria	known	319	test	train
ON862890_193	depolymerase	1	ON862890_193	Ackermannviridae	bacteria	known	37	test	train
PX060903.1_50	depolymerase	1	PX060903.1_50	Unclassified	bacteria	known	870	test	train
PV891805_70	depolymerase	1	PV891805_70	Drexlerviridae	bacteria	known	707	val	train
OR845139_41	depolymerase	1	OR845139_41	Unclassified	bacteria	known	308	train	train
PQ133626_23	depolymerase	1	PQ133626_23	Unclassified	bacteria	known	555	train	train
OY978778_55	depolymerase	1	OY978778_55	Schitoviridae	bacteria	known	902	train	train
PQ287567_1	depolymerase	1	PQ287567_1	Autoscriptoviridae	bacteria	known	578	train	train
OY979410_54	depolymerase	1	OY979410_54	Autoscriptoviridae	bacteria	known	682	train	train
ON602750_44	depolymerase	1	ON602750_44	Drexlerviridae	bacteria	known	794	val	train
MN871445_200	depolymerase	1	MN871445_200	Unclassified	bacteria	known	826	train	train
PV804878_49	depolymerase	1	PV804878_49	Unclassified	bacteria	known	831	train	train
ON602732_6	depolymerase	1	ON602732_6	Autoscriptoviridae	bacteria	known	308	test	train
PQ741797_30	depolymerase	1	PQ741797_30	Unclassified	bacteria	known	985	train	train
OX335395_35	depolymerase	1	OX335395_35	Drexlerviridae	bacteria	known	748	val	train
PQ998983_10	depolymerase	1	PQ998983_10	Autoscriptoviridae	bacteria	known	890	train	train
PV891804_72	depolymerase	1	PV891804_72	Drexlerviridae	bacteria	known	289	train	train
NC_047825_22	depolymerase	1	NC_047825_22	Drexlerviridae	bacteria	known	766	train	train
NC_061418_96	depolymerase	1	NC_061418_96	Chimalliviridae	bacteria	known	757	test	train
OY757065_54	depolymerase	1	OY757065_54	Autoscriptoviridae	bacteria	known	932	train	train
OR532891_21	depolymerase	1	OR532891_21	Unclassified	bacteria	known	709	val	train
OX335400_30	depolymerase	1	OX335400_30	Drexlerviridae	bacteria	known	307	train	train
PX437953_13	depolymerase	1	PX437953_13	Unclassified	bacteria	known	582	val	train
PQ337355_22	depolymerase	1	PQ337355_22	Unclassified	bacteria	known	743	train	train
MW205203_43	depolymerase	1	MW205203_43	Unclassified	bacteria	known	902	train	train
OX335421_31	depolymerase	1	OX335421_31	Drexlerviridae	bacteria	known	300	train	train
PV340597_23	depolymerase	1	PV340597_23	Drexlerviridae	bacteria	known	875	train	train
NC_049454_34	depolymerase	1	NC_049454_34	Peduoviridae	bacteria	known	703	train	train
PX833379.1_4	depolymerase	1	PX833379.1_4	Unclassified	bacteria	known	877	train	train
PV112478_198	depolymerase	1	PV112478_198	Unclassified	bacteria	known	853	train	train
OY978805_22	depolymerase	1	OY978805_22	Drexlerviridae	bacteria	known	928	train	train
OP296941_144	depolymerase	1	OP296941_144	Unclassified	bacteria	known	570	train	train
OY978777_54	depolymerase	1	OY978777_54	Autoscriptoviridae	bacteria	known	835	test	train
OX335386_30	depolymerase	1	OX335386_30	Drexlerviridae	bacteria	known	390	train	train
OR896849_23	depolymerase	1	OR896849_23	Drexlerviridae	bacteria	known	845	train	train
OX335412_30	depolymerase	1	OX335412_30	Drexlerviridae	bacteria	known	262	train	train
NC_048043_51	depolymerase	1	NC_048043_51	Drexlerviridae	bacteria	known	972	val	train
OQ622006_46	depolymerase	1	OQ622006_46	Drexlerviridae	bacteria	known	809	val	train
PP738758_22	depolymerase	1	PP738758_22	Unclassified	bacteria	known	894	val	train
PX904473.1_65	depolymerase	1	PX904473.1_65	Unclassified	bacteria	known	734	train	train
PZ000751.1_50	depolymerase	1	PZ000751.1_50	Unclassified	bacteria	known	846	train	train
OX335422_30	depolymerase	1	OX335422_30	Drexlerviridae	bacteria	known	319	train	train
PQ505477_22	depolymerase	1	PQ505477_22	Drexlerviridae	bacteria	known	650	test	train
PQ133596_69	depolymerase	1	PQ133596_69	Unclassified	bacteria	known	817	train	train
PV827585_58	depolymerase	1	PV827585_58	Unclassified	bacteria	known	874	test	train
OY979480_21	depolymerase	1	OY979480_21	Drexlerviridae	bacteria	known	871	train	train
PX123324.1_68	depolymerase	1	PX123324.1_68	Unclassified	bacteria	known	705	train	train
OY757091_22	depolymerase	1	OY757091_22	Drexlerviridae	bacteria	known	730	train	train
OR180307_159	depolymerase	1	OR180307_159	Unclassified	bacteria	known	921	train	train
OR997927_2	depolymerase	1	OR997927_2	Drexlerviridae	bacteria	known	792	train	train
OK655936_63	depolymerase	1	OK655936_63	Drexlerviridae	bacteria	known	727	val	train
CAKLQH020000015_62	depolymerase	1	CAKLQH020000015_62	Unclassified	bacteria	known	937	train	train
NC_047932_115	depolymerase	1	NC_047932_115	Ackermannviridae	bacteria	known	863	test	train
NC_049847_48	depolymerase	1	NC_049847_48	Drexlerviridae	bacteria	known	786	test	train
PV189485_18	depolymerase	1	PV189485_18	Autoscriptoviridae	bacteria	known	318	train	train
PQ900155_40	depolymerase	1	PQ900155_40	Unclassified	bacteria	known	682	train	train
PV891800_8	depolymerase	1	PV891800_8	Ackermannviridae	bacteria	known	1048	train	train
OY978873_193	depolymerase	1	PV891800_8	Ackermannviridae	bacteria	known	1048	train	train
OR882092_146	depolymerase	1	OR882092_146	Ackermannviridae	bacteria	known	1007	val	train
OR387546_24	depolymerase	1	OR882092_146	Ackermannviridae	bacteria	known	1007	val	train
OL615013_2	depolymerase	1	OL615013_2	Ackermannviridae	bacteria	known	965	test	train
NC_049455_98	depolymerase	1	OL615013_2	Ackermannviridae	bacteria	known	965	test	train
PQ374922_1	depolymerase	1	PQ374922_1	Unclassified	bacteria	known	1000	train	train
ON184126_191	depolymerase	1	PQ374922_1	Ackermannviridae	bacteria	known	201	train	train
OQ973471_187	depolymerase	1	OQ973471_187	Ackermannviridae	bacteria	known	1093	train	train
MH523359_136	depolymerase	1	OQ973471_187	Ackermannviridae	bacteria	known	768	train	train
OL656110_161	depolymerase	1	OL656110_161	Ackermannviridae	bacteria	known	1054	train	train
ON184126_1	depolymerase	1	OL656110_161	Ackermannviridae	bacteria	known	852	train	train
NC_061421_303	depolymerase	1	NC_061421_303	Chimalliviridae	bacteria	known	916	val	train
PQ182779_229	depolymerase	1	NC_061421_303	Unclassified	bacteria	known	913	val	train
OR228402_191	depolymerase	1	OR228402_191	Ackermannviridae	bacteria	known	1201	val	train
PP001500_1	depolymerase	1	OR228402_191	Ackermannviridae	bacteria	known	273	val	train
PP803128_43	depolymerase	1	PP803128_43	Unclassified	bacteria	known	820	train	train
NC_071132_44	depolymerase	1	PP803128_43	Unclassified	bacteria	known	610	train	train
PV112478_66	depolymerase	1	PV112478_66	Unclassified	bacteria	known	882	train	train
PQ182779_349	depolymerase	1	PV112478_66	Unclassified	bacteria	known	882	train	train
OR532817_423	depolymerase	1	OR532817_423	Unclassified	bacteria	known	997	test	train
NC_027399_539	depolymerase	1	OR532817_423	Unclassified	bacteria	known	997	test	train
OU509535_282	depolymerase	1	OU509535_282	Unclassified	bacteria	known	810	test	train
LC768484_2	depolymerase	1	OU509535_282	Unclassified	bacteria	known	810	test	train
NC_027340_192	depolymerase	1	NC_027340_192	Ackermannviridae	bacteria	known	654	train	train
NC_048702_197	depolymerase	1	NC_027340_192	Ackermannviridae	bacteria	known	654	train	train
MN871449_119	depolymerase	1	MN871449_119	Unclassified	bacteria	known	893	val	train
NC_061418_93	depolymerase	1	MN871449_119	Chimalliviridae	bacteria	known	893	val	train
NC_070650_234	depolymerase	1	NC_070650_234	Chimalliviridae	bacteria	known	821	train	train
MN871444_115	depolymerase	1	NC_070650_234	Unclassified	bacteria	known	821	train	train
OR502445_133	depolymerase	1	OR502445_133	Ackermannviridae	bacteria	known	891	train	train
MZ634341_193	depolymerase	1	OR502445_133	Ackermannviridae	bacteria	known	891	train	train
NC_111671_38	depolymerase	1	NC_111671_38	Autotranscriptaviridae	bacteria	known	870	val	test
NC_111672_40	depolymerase	1	NC_111671_38	Autotranscriptaviridae	bacteria	known	870	val	test
MW722080_63	depolymerase	1	MW722080_63	Unclassified	bacteria	known	784	test	train
PQ998984_2	depolymerase	1	MW722080_63	Unclassified	bacteria	known	570	test	train
PV644008_4	depolymerase	1	PV644008_4	Unclassified	bacteria	known	803	train	train
MT966873_42	depolymerase	1	PV644008_4	Autotranscriptaviridae	bacteria	known	803	train	test
NC_048014_44	depolymerase	1	NC_048014_44	Autotranscriptaviridae	bacteria	known	821	val	test
NC_048129_45	depolymerase	1	NC_048014_44	Autotranscriptaviridae	bacteria	known	820	val	test
OY979400_21	depolymerase	1	OY979400_21	Drexlerviridae	bacteria	known	884	test	train
NC_029099_48	depolymerase	1	OY979400_21	Drexlerviridae	bacteria	known	884	test	train
NC_019526_537	depolymerase	1	NC_019526_537	Unclassified	bacteria	known	780	train	train
NC_027399_537	depolymerase	1	NC_019526_537	Unclassified	bacteria	known	780	train	train
OY979417_21	depolymerase	1	OY979417_21	Schitoviridae	bacteria	known	765	train	train
OR145793_77	depolymerase	1	OY979417_21	Unclassified	bacteria	known	677	train	train
MZ826764_154	depolymerase	1	MZ826764_154	Ackermannviridae	bacteria	known	724	val	train
ON399185_203	depolymerase	1	MZ826764_154	Ackermannviridae	bacteria	known	724	val	train
MN871451_305	depolymerase	1	MN871451_305	Unclassified	bacteria	known	742	train	train
MN871447_62	depolymerase	1	MN871451_305	Unclassified	bacteria	known	740	train	train
PP915726_6	depolymerase	1	PP915726_6	Autotranscriptaviridae	bacteria	known	974	val	test
PP738800_34	depolymerase	1	PP915726_6	Unclassified	bacteria	known	974	val	train
MT446418_9	depolymerase	1	MT446418_9	Autotranscriptaviridae	bacteria	known	805	val	test
PV610698_16	depolymerase	1	MT446418_9	Unclassified	bacteria	known	805	val	train
OY977469_46	depolymerase	1	OY977469_46	Autotranscriptaviridae	bacteria	known	679	test	test
NC_048131_44	depolymerase	1	OY977469_46	Autotranscriptaviridae	bacteria	known	679	test	test
PV854172_40	depolymerase	1	PV854172_40	Unclassified	bacteria	known	294	val	train
PQ133610_7	depolymerase	1	PV854172_40	Unclassified	bacteria	known	294	val	train
MT701589_54	depolymerase	1	MT701589_54	Autoscriptoviridae	bacteria	known	556	test	train
MT939252_61	depolymerase	1	MT701589_54	Autoscriptoviridae	bacteria	known	556	test	train
NC_019526_540	depolymerase	1	NC_019526_540	Unclassified	bacteria	known	768	val	train
PV357744_95	depolymerase	1	NC_019526_540	Unclassified	bacteria	known	768	val	train
OQ718882_47	depolymerase	1	OQ718882_47	Unclassified	bacteria	known	695	test	train
NC_071146_46	depolymerase	1	OQ718882_47	Unclassified	bacteria	known	695	test	train
PV683293_136	depolymerase	1	PV683293_136	Ackermannviridae	bacteria	known	769	train	train
PV891801_156	depolymerase	1	PV683293_136	Ackermannviridae	bacteria	known	769	train	train
OK583893_55	depolymerase	1	OK583893_55	Autoscriptoviridae	bacteria	known	593	val	train
OR287808_55	depolymerase	1	OK583893_55	Autoscriptoviridae	bacteria	known	593	val	train
NC_047798_43	depolymerase	1	NC_047798_43	Autotranscriptaviridae	bacteria	known	686	train	test
AB716668_38	depolymerase	1	NC_047798_43	Unclassified	bacteria	known	685	train	train
PQ505484_57	depolymerase	1	PQ505484_57	Unclassified	bacteria	known	749	train	train
PQ505482_57	depolymerase	1	PQ505484_57	Unclassified	bacteria	known	749	train	train
MK416010_8	depolymerase	1	MK416010_8	Unclassified	bacteria	known	804	val	train
PQ409239_92	depolymerase	1	MK416010_8	Schitoviridae	bacteria	known	164	val	train
MN871449_244	depolymerase	1	MN871449_244	Unclassified	bacteria	known	740	train	train
NC_061418_329	depolymerase	1	MN871449_244	Chimalliviridae	bacteria	known	740	train	train
PX577203_40	depolymerase	1	PX577203_40	Unclassified	bacteria	known	577	train	train
NC_013647_43	depolymerase	1	PX577203_40	Autotranscriptaviridae	bacteria	known	577	train	test
NC_047932_119	depolymerase	1	NC_047932_119	Ackermannviridae	bacteria	known	686	train	train
MZ634341_197	depolymerase	1	NC_047932_119	Ackermannviridae	bacteria	known	686	train	train
OP413830_48	depolymerase	1	OP413830_48	Autosignataviridae	bacteria	known	651	train	train
OY979414_11	depolymerase	1	OP413830_48	Autosignataviridae	bacteria	known	651	train	train
ON602767_43	depolymerase	1	ON602767_43	Autoscriptoviridae	bacteria	known	849	val	train
ON602743_13	depolymerase	1	ON602767_43	Autoscriptoviridae	bacteria	known	849	val	train
PP350014_162	depolymerase	1	PP350014_162	Unclassified	bacteria	predicted	876	test	train
NC_007804_23	depolymerase	1	PP350014_162	Unclassified	bacteria	known	876	test	train
PQ480913_23	depolymerase	1	PQ480913_23	Unclassified	bacteria	known	661	train	train
PP824815_53	depolymerase	1	PQ480913_23	Unclassified	bacteria	known	661	train	train
PV588650_47	depolymerase	1	PV588650_47	Unclassified	bacteria	known	799	train	train
ON602754_51	depolymerase	1	PV588650_47	Autoscriptoviridae	bacteria	known	799	train	train
PV231330_10	depolymerase	1	PV231330_10	Unclassified	bacteria	known	937	train	train
MK693005_49	depolymerase	1	PV231330_10	Autoscriptoviridae	bacteria	known	937	train	train
PP889495_21	depolymerase	1	PP889495_21	Unclassified	bacteria	known	1172	val	train
OY978792_23	depolymerase	1	PP889495_21	Drexlerviridae	bacteria	known	1172	val	train
PV112478_197	depolymerase	1	PV112478_197	Unclassified	bacteria	known	738	val	train
NC_061418_100	depolymerase	1	PV112478_197	Chimalliviridae	bacteria	known	738	val	train
PQ351753_19	depolymerase	1	PQ351753_19	Unclassified	bacteria	known	711	test	train
MK416017_1	depolymerase	1	PQ351753_19	Unclassified	bacteria	known	143	test	train
OU509535_285	depolymerase	1	OU509535_285	Unclassified	bacteria	known	1180	train	train
MT708547_217	depolymerase	1	OU509535_285	Unclassified	bacteria	known	1180	train	train
MN187550_6	depolymerase	1	MN187550_6	Unclassified	bacteria	known	710	train	train
PP445227_37	depolymerase	1	MN187550_6	Unclassified	bacteria	known	625	train	train
OR896845_23	depolymerase	1	OR896845_23	Drexlerviridae	bacteria	known	896	test	train
PX872915.1_47	depolymerase	1	OR896845_23	Drexlerviridae	bacteria	known	895	test	train
OZ418234.1_29	depolymerase	1	OZ418234.1_29	Unclassified	bacteria	known	730	train	train
OR424387_45	depolymerase	1	OZ418234.1_29	Unclassified	bacteria	known	730	train	train
NC_049848_53	depolymerase	1	NC_049848_53	Drexlerviridae	bacteria	known	936	train	train
PX725530.1_2	depolymerase	1	NC_049848_53	Unclassified	bacteria	known	931	train	train
PX670392.1_52	depolymerase	1	PX670392.1_52	Unclassified	bacteria	known	1244	test	train
MN176573_8	depolymerase	1	PX670392.1_52	Autoscriptoviridae	bacteria	known	1244	test	train
NC_071137_13	depolymerase	1	NC_071137_13	Unclassified	bacteria	known	263	train	train
PQ133609_1	depolymerase	1	NC_071137_13	Unclassified	bacteria	known	259	train	train
OR287809_44	depolymerase	1	OR287809_44	Autoscriptoviridae	bacteria	known	603	train	train
NC_047811_46	depolymerase	1	OR287809_44	Autoscriptoviridae	bacteria	known	603	train	train
PX915672.1_36	depolymerase	1	PX915672.1_36	Drexlerviridae	bacteria	known	972	train	train
PX833369.1_22	depolymerase	1	PX915672.1_36	Unclassified	bacteria	known	972	train	train
MZ571831_70	depolymerase	1	MZ571831_70	Drexlerviridae	bacteria	known	826	test	train
PX974333.1_33	depolymerase	1	MZ571831_70	Drexlerviridae	bacteria	known	826	test	train
OY978783_59	depolymerase	1	OY978783_59	Autoscriptoviridae	bacteria	known	348	val	train
MZ634343_9	depolymerase	1	OY978783_59	Autoscriptoviridae	bacteria	known	348	val	train
MN101219_56	depolymerase	1	MN101219_56	Autoscriptoviridae	bacteria	known	338	train	train
MN101217_1	depolymerase	1	MN101219_56	Autoscriptoviridae	bacteria	known	263	train	train
NC_048186_137	depolymerase	1	NC_048186_137	Ackermannviridae	bacteria	known	1010	val	train
OX335403_149	depolymerase	1	NC_048186_137	Ackermannviridae	bacteria	known	1010	val	train
NC_049472_135	depolymerase	1	NC_048186_137	Ackermannviridae	bacteria	known	1010	val	train
OR532892_29	depolymerase	1	OR532892_29	Unclassified	bacteria	known	834	test	train
OP114732_66	depolymerase	1	OR532892_29	Unclassified	bacteria	known	834	test	train
OR532828_29	depolymerase	1	OR532892_29	Unclassified	bacteria	known	834	test	train
MN813048_159	depolymerase	1	MN813048_159	Ackermannviridae	bacteria	known	505	train	train
NC_049509_215	depolymerase	1	MN813048_159	Ackermannviridae	bacteria	known	201	train	train
NC_019925_155	depolymerase	1	MN813048_159	Ackermannviridae	bacteria	known	505	train	train
NC_049507_5	depolymerase	1	NC_049507_5	Ackermannviridae	bacteria	known	967	test	train
NC_049495_133	depolymerase	1	NC_049507_5	Ackermannviridae	bacteria	known	967	test	train
MH523359_133	depolymerase	1	NC_049507_5	Ackermannviridae	bacteria	known	967	test	train
PQ231750_4	depolymerase	1	PQ231750_4	Unclassified	bacteria	known	820	test	train
PQ569648_1	depolymerase	1	PQ231750_4	Unclassified	bacteria	known	744	test	train
NC_071132_43	depolymerase	1	PQ231750_4	Unclassified	bacteria	known	222	test	train
NC_048736_34	depolymerase	1	NC_048736_34	Ackermannviridae	bacteria	known	988	train	train
NC_020083_31	depolymerase	1	NC_048736_34	Ackermannviridae	bacteria	known	988	train	train
MF285619_34	depolymerase	1	NC_048736_34	Ackermannviridae	bacteria	known	988	train	train
PQ963940_37	depolymerase	1	PQ963940_37	Drexlerviridae	bacteria	known	858	val	train
PQ133613_14	depolymerase	1	PQ963940_37	Unclassified	bacteria	known	858	val	train
OR492660_32	depolymerase	1	PQ963940_37	Drexlerviridae	bacteria	known	858	val	train
OY977469_45	depolymerase	1	OY977469_45	Autotranscriptaviridae	bacteria	known	793	val	test
NC_048131_43	depolymerase	1	OY977469_45	Autotranscriptaviridae	bacteria	known	793	val	test
OY979413_43	depolymerase	1	OY977469_45	Autotranscriptaviridae	bacteria	known	793	val	test
PV112477_1	depolymerase	1	PV112477_1	Unclassified	bacteria	known	699	test	train
OQ689083_39	depolymerase	1	PV112477_1	Unclassified	bacteria	known	692	test	train
