Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results	Substrate
OQ973471_187	-	-	-	GH90	1	-	-
OR122688_1	-	GH90(161-698)	-	GH90	2	GH90	-
OR122688_207	-	-	-	GH90	1	-	-
OR228402_191	-	-	-	GH90	1	-	-
OR242317_2	-	GH90(161-706)	-	GH90	2	GH90	-
OR242317_3	-	-	-	GH90	1	-	-
OR260414_77	-	GH90(129-675)	-	GH90	2	GH90	-
OR449012_35	-	-	-	GH90	1	-	-
OR532809_40	-	-	-	GH0	1	-	-
OR532830_7	-	-	-	PL0	1	-	-
OR532831_7	-	-	-	PL0	1	-	-
OR532832_7	-	-	-	PL0	1	-	-
OR532837_7	-	-	-	PL0	1	-	-
OR532838_7	-	-	-	PL0	1	-	-
OR532843_7	-	-	-	PL0	1	-	-
OR532847_10	-	-	-	PL0	1	-	-
OR532880_40	-	-	-	GH0	1	-	-
OR532883_11	-	-	-	PL0	1	-	-
OR532888_7	-	-	-	PL0	1	-	-
OR532893_7	-	-	-	PL0	1	-	-
OR532898_7	-	-	-	PL0	1	-	-
OR532900_7	-	-	-	PL0	1	-	-
OR532907_40	-	-	-	GH0	1	-	-
OR710291_116	-	GH90(487-1024)	-	GH90	2	GH90	-
OR729889_201	-	GH90(162-707)	-	GH90	2	GH90	-
OR729889_204	-	-	-	GH90	1	-	-
OR757456_21	-	GH90(41-568)	-	GH90	2	GH90	-
OR776998_155	-	-	-	GH90	1	-	-
OR844942_55	-	GH90(161-698)	-	GH90	2	GH90	-
OR844942_56	-	-	-	GH90	1	-	-
OR863360_190	-	-	-	GH90	1	-	-
OR863362_185	-	GH90(161-698)	-	GH90	2	GH90	-
OR863362_186	-	-	-	GH90	1	-	-
OR885871_41	-	-	-	GH90	1	-	-
OR921208_19	-	GH90(129-674)	-	GH90	2	GH90	-
OR939735_4	-	GH90(129-674)	-	GH90	2	GH90	-
OU509534_56	-	-	-	PL0	1	-	-
OX335379_1	-	-	-	PL0	1	-	-
OX335402_48	-	-	-	GH90	1	-	-
OX335428_53	-	-	-	PL0	1	-	-
OY979392_47	-	-	-	GH28	1	-	-
OY979398_10	-	-	-	PL0	1	-	-
OY979411_8	-	-	-	PL0	1	-	-
PP442062_11	-	-	-	PL0	1	-	-
PP533474_199	-	GH90(161-698)	-	GH90	2	GH90	-
PP533474_200	-	-	-	GH90	1	-	-
PP588724_15	-	-	-	GH90	1	-	-
PP588724_16	-	GH90(161-698)	-	GH90	2	GH90	-
PP663283_52	-	-	-	PL0	1	-	-
PP706106_45	-	GH90(161-698)	-	GH90	2	GH90	-
PP706106_46	-	-	-	GH90	1	-	-
PP761450_176	-	-	-	GH90	1	-	-
PP836776_47	-	-	-	PL0	1	-	-
PP856726_201	-	-	-	GH90	1	-	-
PP856728_8	-	GH90(161-698)	-	GH90	2	GH90	-
PP856729_67	-	-	-	GH90	1	-	-
PP856729_68	-	GH90(161-698)	-	GH90	2	GH90	-
PP882722_23	-	-	-	PL0	1	-	-
PP889474_7	-	-	-	PL0	1	-	-
PP889484_7	-	-	-	PL0	1	-	-
PP926505_56	-	GH90(487-1032)	-	GH90	2	GH90	-
PP934444_49	-	-	-	PL0	1	-	-
PP994976_140	-	GH90(161-706)	-	GH90	2	GH90	-
PP994976_141	-	-	-	GH90	1	-	-
PQ126513_12	-	GH90(129-675)	-	GH90	2	GH90	-
PQ133005_50	-	-	-	PL0	1	-	-
PQ133006_50	-	-	-	PL0	1	-	-
PQ133615_1	-	-	-	PL0	1	-	-
PQ306799_157	-	GH90(161-706)	-	GH90	2	GH90	-
PQ306799_158	-	-	-	GH90	1	-	-
PQ308734_53	-	-	-	PL0	1	-	-
PQ362313_49	-	-	-	PL0	1	-	-
PQ394119_47	-	-	-	PL0	1	-	-
PQ465216_33	-	GH90(129-674)	-	GH90	2	GH90	-
PQ530295_5	-	-	-	PL0	1	-	-
PQ569991.1_196	-	-	-	GH90	1	-	-
PQ569991.1_197	-	GH90(161-698)	-	GH90	2	GH90	-
PQ570679_50	-	-	-	PL0	1	-	-
PQ657801_7	-	-	-	PL0	1	-	-
PQ678705_1	-	-	-	PL0	1	-	-
PQ678706_30	-	-	-	PL0	1	-	-
PQ741857_7	-	-	-	PL0	1	-	-
PV112475_1	-	-	-	GH90	1	-	-
PV112475_82	-	GH90(1-427)	-	GH90	2	GH90	-
PV231795_49	-	-	-	PL0	1	-	-
PV636258.1_11	-	GH90(161-706)	-	GH90	2	GH90	-
PV730299_13	-	-	-	GH90	1	-	-
PV872879_1	-	-	-	PL0	1	-	-
PX060903.1_7	-	-	-	PL0	1	-	-
PX104388_190	-	-	-	GH90	1	-	-
PX104388_191	-	GH90(161-698)	-	GH90	2	GH90	-
PX282428_198	-	-	-	GH90	1	-	-
PX670396.1_8	-	-	-	PL0	1	-	-
PX670400.1_7	-	-	-	PL0	1	-	-
PX670403.1_7	-	-	-	PL0	1	-	-
PX670405.1_7	-	-	-	PL0	1	-	-
PX670411.1_7	-	-	-	PL0	1	-	-
PX733326.1_53	-	-	-	PL0	1	-	-
PX906549.1_9	-	GH90(129-675)	-	GH90	2	GH90	-
PX943615.1_45	-	-	-	PL0	1	-	-
PX979744.1_52	-	-	-	PL0	1	-	-
PX979745.1_53	-	-	-	PL0	1	-	-
PZ069137.1_64	-	GH90(129-675)	-	GH90	2	GH90	-
REP_KLEO13gp10	-	-	-	GH28	1	-	-
REP_OOM_MN342150_206	-	-	-	GH90	1	-	-
REP_OOM_MN871502_209	-	-	-	GH90	1	-	-
REP_OOM_MW021757_123	-	-	-	GH90	1	-	-
REP_OOM_MW355475_67	-	-	-	GH90	1	-	-
REP_OOM_NC_031128_115	-	-	-	GH90	1	-	-
REP_OOM_NC_042061_132	-	-	-	GH90	1	-	-
REP_OOM_NC_049396_161	-	-	-	GH90	1	-	-
REP_OOM_NC_049443_203	-	-	-	GH90	1	-	-
REP_OOM_NC_049504_6	-	-	-	GH90	1	-	-
REP_OOM_OM681507_133	-	-	-	GH90	1	-	-
REP_OOM_OP610151_174	-	-	-	GH90	1	-	-
REP_OOM_OP828573_111	-	-	-	GH90	1	-	-
REP_OOM_OR122688_207	-	-	-	GH90	1	-	-
REP_OOM_OR228402_191	-	-	-	GH90	1	-	-
REP_OOM_PP588724_15	-	-	-	GH90	1	-	-
REP_OOM_PP761450_176	-	-	-	GH90	1	-	-
