protein_id,category,host_raw,host_domain,genome_genus,genome_family,protein_length,best_evalue,n_pfam,n_cdd,n_superfamily,cazy_layer,tmhmm_predhel_approx,signal_peptide_approx,genome_completeness,genome_checkv_quality,fold_homolog,mean_plddt,n_pockets,substrate_inferred,novelty,transfer_value,total_score
MT104465_38,lysin,Pseudomonas,bacteria,Hennigervirus,Autotranscriptaviridae,1400,6.60e-196,1,1,1,GH23,0,no,90.54,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.513,CRKP/PA/AB 临床重点菌,0.7983
MT104466_44,lysin,Pseudomonas,bacteria,Hennigervirus,Autotranscriptaviridae,1400,6.60e-196,1,1,1,GH23,0,no,94.96,High-quality,AF-A0A1H7ARN7-F1,63.8,83,肽聚糖（推断）,0.512,CRKP/PA/AB 临床重点菌,0.7975
OM256450_43,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1401,6.60e-196,1,1,1,GH23,0,no,96.03,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.507,CRKP/PA/AB 临床重点菌,0.7974
PP496479_41,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1401,6.60e-196,1,0,1,GH23,0,no,94.84,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.507,CRKP/PA/AB 临床重点菌,0.7974
NC_047922_5,lysin,Pseudomonas,bacteria,Hennigervirus,Autotranscriptaviridae,1400,6.60e-196,1,1,1,GH23,0,no,94.71,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.507,CRKP/PA/AB 临床重点菌,0.7974
PP179330_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1401,6.60e-196,1,1,1,GH23,0,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.506,CRKP/PA/AB 临床重点菌,0.7972
PP179313_40,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1401,6.60e-196,1,1,1,GH23,0,no,95.88,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.505,CRKP/PA/AB 临床重点菌,0.7971
NC_041994_195,lysin,Pseudomonas,bacteria,Noxifervirus,Chimalliviridae,2319,2.40e-185,1,0,1,GH23,5,yes,93.06,High-quality,,,,肽聚糖（推断）,0.646,CRKP/PA/AB 临床重点菌,0.7969
PP582757_280,holin,Klebsiella,bacteria,Kanagawavirus,Straboviridae,216,5.10e-52,1,0,0,none,1,yes,96.23,High-quality,,,,膜成孔（内溶素协同，推断）,0.542,CRKP/PA/AB 临床重点菌,0.7963
OQ603350_41,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,94.56,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.5,CRKP/PA/AB 临床重点菌,0.7963
PP496445_37,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,93.63,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.5,CRKP/PA/AB 临床重点菌,0.7963
PP496477_39,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1400,9.20e-197,1,1,1,GH23,0,no,95.55,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.5,CRKP/PA/AB 临床重点菌,0.7963
PP496478_39,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1400,9.20e-197,1,1,1,GH23,0,no,95.29,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.5,CRKP/PA/AB 临床重点菌,0.7963
NC_047827_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.499,CRKP/PA/AB 临床重点菌,0.7962
PQ453564_7,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1400,9.20e-197,1,1,1,GH23,0,no,93.79,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.499,CRKP/PA/AB 临床重点菌,0.7962
PZ055575.1_40,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1393,1.40e-202,1,0,1,GH23,1,no,93.76,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.498,CRKP/PA/AB 临床重点菌,0.796
NC_047747_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.498,CRKP/PA/AB 临床重点菌,0.796
OK523999_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.498,CRKP/PA/AB 临床重点菌,0.796
NC_047874_39,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.498,CRKP/PA/AB 临床重点菌,0.796
NC_004665_33,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.498,CRKP/PA/AB 临床重点菌,0.796
OX359472_9,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.497,CRKP/PA/AB 临床重点菌,0.7959
MN729599_43,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.497,CRKP/PA/AB 临床重点菌,0.7959
OK523998_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.497,CRKP/PA/AB 临床重点菌,0.7959
PZ055576.1_40,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1393,1.40e-202,1,0,1,GH23,1,no,94.03,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.497,CRKP/PA/AB 临床重点菌,0.7959
MW812345_41,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,93.19,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.497,CRKP/PA/AB 临床重点菌,0.7959
NC_024362_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.497,CRKP/PA/AB 临床重点菌,0.7959
PP496446_41,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,94.04,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.497,CRKP/PA/AB 临床重点菌,0.7959
NC_055715_1,holin,Klebsiella,bacteria,Jiaodavirus,Straboviridae,107,9.70e-70,1,0,0,none,2,yes,92.54,High-quality,,,,膜成孔（内溶素协同，推断）,0.538,CRKP/PA/AB 临床重点菌,0.7957
MZ826348_41,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1397,6.90e-200,1,1,1,GH23,2,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.496,CRKP/PA/AB 临床重点菌,0.7957
MZ826346_41,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1397,6.90e-200,1,1,1,GH23,2,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.496,CRKP/PA/AB 临床重点菌,0.7957
PX694327.1_44,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1393,1.40e-202,1,0,1,GH23,2,no,93.52,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.496,CRKP/PA/AB 临床重点菌,0.7957
OQ953986_45,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.496,CRKP/PA/AB 临床重点菌,0.7957
OM471789_48,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,93.43,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.496,CRKP/PA/AB 临床重点菌,0.7957
OQ603352_40,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,94.27,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.496,CRKP/PA/AB 临床重点菌,0.7957
NC_047826_41,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.496,CRKP/PA/AB 临床重点菌,0.7957
MN729600_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.496,CRKP/PA/AB 临床重点菌,0.7957
LN889995_11,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1397,6.90e-200,1,1,1,GH23,2,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.495,CRKP/PA/AB 临床重点菌,0.7955
MZ826351_41,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1397,6.90e-200,1,1,1,GH23,2,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.495,CRKP/PA/AB 临床重点菌,0.7955
MZ826354_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1397,6.90e-200,1,1,1,GH23,2,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.494,CRKP/PA/AB 临床重点菌,0.7954
OR997970_44,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1397,6.90e-200,1,1,1,GH23,2,no,95.02,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.494,CRKP/PA/AB 临床重点菌,0.7954
OL581611_41,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1397,6.90e-200,1,1,1,GH23,2,no,93.44,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.494,CRKP/PA/AB 临床重点菌,0.7954
PP704628_39,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,93.85,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.494,CRKP/PA/AB 临床重点菌,0.7954
OM630590_47,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1392,1.40e-202,1,0,1,GH23,1,no,93.87,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.494,CRKP/PA/AB 临床重点菌,0.7954
PX106863_41,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1397,6.90e-200,1,1,1,GH23,2,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.493,CRKP/PA/AB 临床重点菌,0.7953
PV037723_44,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1397,6.90e-200,1,1,1,GH23,2,no,93.79,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.493,CRKP/PA/AB 临床重点菌,0.7953
PX105294_42,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1393,1.40e-202,1,0,1,GH23,2,no,93.88,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.492,CRKP/PA/AB 临床重点菌,0.7951
PX575506_41,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1393,1.40e-202,1,0,1,GH23,2,no,88.44,Medium-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.492,CRKP/PA/AB 临床重点菌,0.7951
MN729598_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,2,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.491,CRKP/PA/AB 临床重点菌,0.795
PV477980_44,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1394,1.70e-198,1,1,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.491,CRKP/PA/AB 临床重点菌,0.795
MT711890_46,lysin,Pseudomonas,bacteria,Waldovirus,Autotranscriptaviridae,1394,1.70e-198,1,1,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.49,CRKP/PA/AB 临床重点菌,0.7948
PV683292_161,holin,Klebsiella,bacteria,Unclassified,Straboviridae,219,1.00e-70,1,0,0,none,2,yes,94.44,High-quality,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
PV963844_159,holin,Klebsiella,bacteria,Marfavirus,Unclassified,219,1.00e-70,1,0,0,none,1,yes,94.0,High-quality,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
PV784031_134,holin,Klebsiella,bacteria,Marfavirus,Unclassified,219,1.00e-70,1,0,0,none,2,yes,94.63,High-quality,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
PV963843_166,holin,Klebsiella,bacteria,Marfavirus,Unclassified,219,1.00e-70,1,0,0,none,2,yes,93.94,High-quality,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
PP738796_103,holin,Klebsiella,bacteria,Unclassified,Unclassified,219,1.00e-70,1,0,0,none,1,yes,92.97,High-quality,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
PX915625.1_47,holin,Klebsiella,bacteria,Unclassified,Unclassified,219,1.00e-70,1,0,0,none,2,yes,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
PP738795_104,holin,Klebsiella,bacteria,Unclassified,Unclassified,219,1.00e-70,1,0,0,none,2,yes,94.2,High-quality,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
OR231917_94,holin,Klebsiella,bacteria,Marfavirus,Unclassified,219,1.00e-70,1,0,0,none,2,yes,96.09,High-quality,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
PV864764_6,holin,Klebsiella,bacteria,Unclassified,Unclassified,219,1.00e-70,1,0,0,none,2,yes,94.72,High-quality,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
PV357748_3,holin,Klebsiella,bacteria,Unclassified,Unclassified,220,1.20e-79,1,0,0,none,1,yes,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.527,CRKP/PA/AB 临床重点菌,0.7941
OR584013_210,holin,Pseudomonas,bacteria,Unclassified,Unclassified,219,5.00e-102,1,0,0,none,1,yes,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.525,CRKP/PA/AB 临床重点菌,0.7937
MT711889_43,lysin,Pseudomonas,bacteria,Waldovirus,Autotranscriptaviridae,1394,1.70e-198,1,1,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.48,CRKP/PA/AB 临床重点菌,0.7933
OR502445_22,lysin,Klebsiella,bacteria,Taipeivirus,Ackermannviridae,265,1.40e-16,2,0,1,CBM(class);GH(class),0,yes,94.64,High-quality,AF-A0A9E0VSY1-F1,96.1,15,肽聚糖（推断）,0.521,CRKP/PA/AB 临床重点菌,0.793
PP179331_39,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1400,1.10e-201,1,1,1,GH23,0,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.478,CRKP/PA/AB 临床重点菌,0.793
PP496475_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1395,4.50e-193,1,1,1,GH23,1,no,100.0,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.477,CRKP/PA/AB 临床重点菌,0.7929
MN729596_42,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1393,1.40e-202,1,0,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,62.1,60,肽聚糖（推断）,0.496,CRKP/PA/AB 临床重点菌,0.7925
PX854772.1_32,lysin,Pseudomonas,bacteria,Unclassified,Unclassified,1400,1.10e-201,1,1,1,GH23,1,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.468,CRKP/PA/AB 临床重点菌,0.7915
OQ603349_2,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1400,1.10e-201,1,1,1,GH23,0,no,100.0,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.465,CRKP/PA/AB 临床重点菌,0.7911
OR687459_1,lysin,Pseudomonas,bacteria,Pifdecavirus,Autotranscriptaviridae,1338,4.80e-186,1,0,1,GH23,0,no,94.3,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.464,CRKP/PA/AB 临床重点菌,0.7909
NC_055720_182,holin,Pseudomonas,bacteria,Jiangsuvirus,Straboviridae,218,5.80e-70,1,0,0,none,1,yes,84.01,Medium-quality,,,,膜成孔（内溶素协同，推断）,0.505,CRKP/PA/AB 临床重点菌,0.7908
NC_047997_46,lysin,Pseudomonas,bacteria,Pfluvirus,Autotranscriptaviridae,1332,9.10e-180,1,1,1,GH23,0,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.463,CRKP/PA/AB 临床重点菌,0.7908
PP496474_44,lysin,Pseudomonas,bacteria,Ghunavirus,Autotranscriptaviridae,1400,8.60e-197,1,1,1,GH23,0,no,100.0,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.461,CRKP/PA/AB 临床重点菌,0.7904
OQ622093_43,lysin,Pseudomonas,bacteria,Cankvirus,Autotranscriptaviridae,1398,4.70e-194,1,1,1,GH23,0,no,100.0,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.461,CRKP/PA/AB 临床重点菌,0.7904
PP444687_10,holin,Klebsiella,bacteria,Slopekvirus,Straboviridae,216,6.40e-54,1,0,0,none,2,yes,91.28,High-quality,,,,膜成孔（内溶素协同，推断）,0.5,CRKP/PA/AB 临床重点菌,0.79
PP597383_256,holin,Klebsiella,bacteria,Slopekvirus,Straboviridae,216,6.40e-54,1,0,0,none,2,yes,91.38,High-quality,,,,膜成孔（内溶素协同，推断）,0.5,CRKP/PA/AB 临床重点菌,0.79
NC_023005_43,lysin,Pseudomonas,bacteria,Phutvirus,Autotranscriptaviridae,1333,1.20e-181,1,0,1,GH23,0,no,100.0,Complete,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.456,CRKP/PA/AB 临床重点菌,0.7897
OQ079410_2,lysin,Pseudomonas,bacteria,Pifdecavirus,Autotranscriptaviridae,1333,1.10e-185,1,0,1,GH23,0,no,83.69,Medium-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.446,CRKP/PA/AB 临床重点菌,0.7882
PV683289_272,holin,Klebsiella,bacteria,Unclassified,Straboviridae,215,4.00e-53,1,0,0,none,1,yes,100.0,Complete,,,,膜成孔（内溶素协同，推断）,0.486,CRKP/PA/AB 临床重点菌,0.7879
MT711887_6,lysin,Pseudomonas,bacteria,Troedvirus,Autotranscriptaviridae,1327,1.10e-198,1,1,1,GH23,0,no,93.93,High-quality,AF-A0A1H7ARN7-F1,64.2,98,肽聚糖（推断）,0.442,CRKP/PA/AB 临床重点菌,0.7876
