HMM Name	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH90.hmm	551	NC_054645_9	675	1.1404579890016e-310	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	NC_054646_44	675	3.43763464175633e-310	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	OK539832_126	698	3.5431943715904704e-119	3	550	161	698	0.9945553539019965	dbCAN
GH33.hmm	342	OL656110_161	1053	5.249174534507824e-19	24	328	552	879	0.8918128654970761	dbCAN
GH90.hmm	551	OL964734_38	675	2.59992348283737e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	OL964738_39	1024	9.363951081765168e-118	3	550	487	1024	0.9945553539019965	dbCAN
GH90.hmm	551	OL964744_37	675	6.03245655468957e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	OL964746_36	807	2.320547068264933e-160	3	274	487	758	0.4936479128856624	dbCAN
GH90.hmm	551	OL964751_36	675	4.5296751369517e-309	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	OL964752_36	675	9.7664651126557e-310	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	OL964753_36	807	2.320547068264933e-160	3	274	487	758	0.4936479128856624	dbCAN
GH90.hmm	551	ON169962_118	698	8.129356846917684e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	ON169963_115	698	8.129356846917684e-119	3	550	161	698	0.9945553539019965	dbCAN
GH33.hmm	342	ON184126_1	851	4.215816608515062e-19	24	328	350	677	0.8918128654970761	dbCAN
GH58.hmm	449	ON470605_8	981	2.6821445875637177e-296	1	449	213	661	1.0	dbCAN
GH90.hmm	551	ON809764_201	1034	3.35666224377681e-309	3	550	487	1032	0.9945553539019965	dbCAN
GH90.hmm	551	OP423032_38	698	9.83791193429308e-120	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	OP828573_112	708	9.1708045916698e-310	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	OP978318_173	708	1.100491443856024e-309	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	OP991882_203	708	6.63155840850275e-310	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	OQ267695_22	675	3.902325238634e-311	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	OQ359884_174	698	1.912600245431501e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	OQ455241.1_81	708	1.92130467985484e-310	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	OR122688_1	698	9.83791193429308e-120	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	OR242317_2	708	1.100491443856024e-309	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	OR260414_77	675	5.3013805125953e-310	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	OR710291_116	1024	3.029851906945384e-119	3	550	487	1024	0.9945553539019965	dbCAN
GH90.hmm	551	OR729889_201	709	9.79616859018299e-308	3	550	162	707	0.9945553539019965	dbCAN
GH90.hmm	551	OR757456_21	571	1.4534155757895798e-117	11	549	41	568	0.9782214156079856	dbCAN
GH90.hmm	551	OR844942_55	698	2.8428199300453827e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	OR863362_185	698	5.668522736405915e-120	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	OR921208_19	676	5.418255096355265e-309	3	550	129	674	0.9945553539019965	dbCAN
GH90.hmm	551	OR939735_4	676	4.171623592137167e-309	3	550	129	674	0.9945553539019965	dbCAN
GH90.hmm	551	PP533474_199	698	3.5431943715904704e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	PP588724_16	698	3.991303991706452e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	PP706106_45	698	4.876169835859084e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	PP856728_8	698	4.8564862283382474e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	PP856729_68	698	6.211567071107437e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	PP926505_56	1034	3.35666224377681e-309	3	550	487	1032	0.9945553539019965	dbCAN
GH90.hmm	551	PP994976_140	708	1.100491443856024e-309	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	PQ126513_12	675	8.364952999458e-311	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	PQ306799_157	708	2.18402536445432e-309	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	PQ465216_33	676	4.171623592137167e-309	3	550	129	674	0.9945553539019965	dbCAN
GH90.hmm	551	PQ569991.1_197	698	3.5431943715904704e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	PV112475_82	427	6.1106051424970354e-239	123	551	1	427	0.778584392014519	dbCAN
GH90.hmm	551	PV636258.1_11	708	1.19586306519831e-309	3	550	161	706	0.9945553539019965	dbCAN
GH90.hmm	551	PX104388_191	698	4.8564862283382474e-119	3	550	161	698	0.9945553539019965	dbCAN
GH90.hmm	551	PX906549.1_9	675	1.3146188707865e-311	3	551	129	675	0.9963702359346642	dbCAN
GH90.hmm	551	PZ069137.1_64	675	2.02840187472074e-310	3	551	129	675	0.9963702359346642	dbCAN
